其实	0
面积	1
并不大	2
偌大	3
成都	4
只	5
留下	6
一小块	7
老城	8
遗存	9
挺	10
不易	11
店铺	12
文艺	13
古老	14
气息	15
商业	16
气氛	17
浓	18
是	19
以前	20
旗人	21
聚居地	22
建筑	23
特色	24
现在	25
改成	26
商业街	27
氛围	28
消费	29
相对	30
锦里	31
便宜	32
里面	33
铺子	34
格调	35
两户	36
做	37
商铺	38
私人	39
宅邸	40
挂	41
勿进	42
牌子	43
喧嚣	44
里	45
低调	46
彰显	47
宁静	48
应该	49
非常适合	50
小	51
清新	52
摆	53
拍	54
凹	55
造型	56
范	57
还是	58
当地	59
真的	60
一条	61
巷子	62
宽	63
窄	64
宽窄巷子	65
标志性	66
景点	67
羡慕	68
人	69
优哉游哉	70
生活	71
值得	72
一去	73
无论是	74
疯狂	75
小吃	76
公共服务	77
杠杠	78
宽巷子	79
井	80
三条	81
组成	82
北京	83
南锣鼓巷	84
烟袋斜街	85
上海	86
田子坊	87
一个	88
类型	89
比较	90
地方	91
夹	92
小巷子	93
小店	94
卖	95
创意	96
商品	97
热门	98
一般般	99
街道	100
商业化	101
相当于	102
广州	103
北京路	104
5	105
月	106
周六	107
有点	108
干净	109
两侧	110
算有	111
价格	112
不敢恭维	113
地铁站	114
坐地铁	115
去逛	116
下	117
魔	118
高点	119
茶	120
点心	121
看看	122
川剧	123
喝	124
变脸	125
真	126
觉得	127
悠闲	128
个人感觉	129
好	130
比窄	131
热闹	132
拍照	133
排队	134
吃饭	135
一些	136
宅院	137
适合	138
必去	139
去过	140
一次	141
印象	142
尤为	143
深刻	144
因住	145
附近	146
一天	147
时间	148
充裕	149
特别	150
走走	151
逛逛	152
感受一下	153
各个	154
不	155
知道	156
反正	157
很贵	158
很	159
回忆	160
童年	161
记忆	162
中	163
小镇	164
风情	165
虽然	166
过度	167
开发	168
消闲	169
完美	170
融合	171
本地	172
保留	173
美味	174
特色小吃	175
想	176
再	177
年轻人	178
想要	179
探寻	180
古迹	181
重	182
店子	183
装修	184
茶馆	185
逛一逛	186
很多	187
过	188
红绿灯	189
已然	190
位于	191
四川省	192
成都市	193
青羊区	194
长顺	195
街	196
平行	197
排列	198
全为	199
青黛	200
砖瓦	201
仿古	202
四合院	203
落	204
遗留下来	205
成	206
规模	207
清朝古街	208
道	209
大	210
慈寺	211
文殊院	212
一起	213
称为	214
三大	215
历史	216
文化名城	217
保护	218
街区	219
刚入	220
宽窄	221
九墙	222
青砖	223
花墙	224
百变	225
门神	226
中国邮政	227
民居	228
用品	229
呼吸	230
瓦墙	231
骠骑	232
思征	233
老井	234
镜像	235
重门	236
耙	237
耳朵	238
市井	239
文化	240
缩影	241
核心	242
挤挤	243
挤	244
算	245
能够	246
保持	247
安全	248
距离	249
五一	250
十一	251
人贴	252
可贵	253
酒家	254
咖啡馆	255
比比皆是	256
却	257
听	258
不到	259
吆喝	260
叫卖声	261
徕	262
客	263
播放	264
低音炮	265
摒除	266
游客	267
喧闹	268
入耳	269
妙曼	270
悠扬	271
轻音乐	272
游记	273
http	274
/	275
www	276
mafengwo	277
cn	278
i	279
5474860	280
html	281
当然	282
主要	283
太	284
西安	285
吃	286
美食	287
各式各样	288
看着	289
有没有	290
流口水	291
字	292
推荐	293
！	294
不错	295
小青年	296
人少	297
慢慢	298
走过	299
欣赏	300
一家	301
店	302
每一处	303
景	304
很小	305
资的	306
有空	307
坐下	308
喝杯	309
体验	310
一下	311
慢	312
第三天	313
天下	314
雨	315
青旅	316
认识	317
橙子	318
来到	319
一路	320
雨中	321
漫步	322
下着雨	323
最	324
出名	325
双流	326
兔头	327
听说	328
好吃	329
下不去	330
嘴	331
感觉	332
残忍	333
·	334
人多	335
真是	336
文化街	337
感受	338
味道	339
记录	340
人文	341
地点	342
细细	343
一看	344
美好	345
走	346
摘	347
古色古香	348
好像	349
晚上	350
逛过	351
~	352
巷	353
巴蜀	354
得以	355
尽现	356
工艺品	357
掏耳朵	358
需	359
找个	360
地儿	361
静静地	362
品茗	363
享受	364
［	365
市中心	366
历史文化保护区	367
这三条	368
城市	369
老式	370
之间	371
群落	372
风味	373
